,tag,t,z,mass,width
1,1.00,0.00,550.02,1047694.00,4863.52
3,1.00,1.00,554.82,1232618.00,7901.56
5,1.00,2.00,559.38,1496028.00,8444.57
7,1.00,3.00,563.54,1349569.00,7567.65
9,1.00,4.00,567.08,1164999.00,7282.19
11,1.00,5.00,568.58,1056177.00,7276.98
13,1.00,6.00,555.95,1091945.00,7984.33
15,1.00,7.00,545.39,1447759.00,8621.24
17,1.00,8.00,539.48,2195793.00,10721.98
19,1.00,9.00,536.14,2401458.00,11635.09
21,1.00,10.00,532.52,1320789.00,8194.32
23,1.00,11.00,528.44,1069167.00,6912.18
25,1.00,12.00,523.60,1158790.00,7351.25
27,1.00,13.00,520.20,1383349.00,8173.28
29,1.00,14.00,517.53,1515492.00,8325.33
31,1.00,15.00,517.76,1382127.00,8881.58
33,1.00,16.00,527.33,2177746.00,11124.03
35,1.00,17.00,533.39,1448999.00,8580.52
37,1.00,18.00,540.80,1217431.00,7273.72
39,1.00,19.00,546.32,1247984.00,7767.35
41,1.00,20.00,551.43,1547032.00,8829.43
43,1.00,21.00,556.85,1429377.00,8298.65
45,1.00,22.00,560.14,1229385.00,7097.69
47,1.00,23.00,563.04,1366168.00,7896.29
49,1.00,24.00,565.49,1130005.00,7110.38
51,1.00,25.00,562.63,1071857.00,7535.42
53,1.00,26.00,551.73,1151850.00,7504.03
55,1.00,27.00,542.25,1531293.00,8828.71
57,1.00,28.00,536.74,2459742.00,11497.39
59,1.00,29.00,532.89,1486603.00,8642.74
61,1.00,30.00,527.71,1395665.00,8182.61
63,1.00,31.00,524.02,1358515.00,8436.79
65,1.00,32.00,519.69,1157365.00,7098.56
67,1.00,33.00,517.55,1309591.00,7661.19
69,1.00,34.00,515.26,1183594.00,6880.17
71,1.00,35.00,520.13,1243330.00,8375.33
73,1.00,36.00,529.74,1562996.00,9012.71
75,1.00,37.00,535.33,1562067.00,9345.01
77,1.00,38.00,542.36,1365287.00,7660.93
79,1.00,39.00,546.87,1704945.00,9063.04
81,1.00,40.00,551.98,1333858.00,7189.58
83,1.00,41.00,556.76,1494545.00,8644.17
85,1.00,42.00,560.40,1597140.00,8977.64
87,1.00,43.00,562.39,1456949.00,7591.48
89,1.00,44.00,564.79,1485657.00,8158.89
91,1.00,45.00,559.06,1378600.00,9158.15
93,1.00,46.00,547.57,1281429.00,8099.84
95,1.00,47.00,540.96,1518508.00,8116.26
97,1.00,48.00,534.70,1931773.00,9833.04
99,1.00,49.00,529.72,1531865.00,8563.17
101,1.00,50.00,525.44,1284499.00,7626.51
103,1.00,51.00,521.07,1179168.00,7151.75
105,1.00,52.00,517.27,1159910.00,6843.39
107,1.00,53.00,511.72,1468945.00,7736.91
109,1.00,54.00,508.90,2163056.00,10648.44
111,1.00,55.00,516.58,1502461.00,9152.35
113,1.00,56.00,526.75,1362278.00,8144.41
115,1.00,57.00,534.64,1810309.00,9682.06
117,1.00,58.00,539.14,1684733.00,8824.68
119,1.00,59.00,543.60,1268503.00,7222.74
121,1.00,60.00,548.13,1365613.00,7110.56
123,1.00,61.00,550.16,2079582.00,9138.22
125,1.00,62.00,552.23,1574015.00,8439.23
127,1.00,63.00,555.54,1076490.00,6933.85
129,1.00,64.00,557.17,1154718.00,7382.00
131,1.00,65.00,547.11,1741617.00,10104.06
133,1.00,66.00,538.06,1734793.00,9654.31
135,1.00,67.00,531.40,1871436.00,9660.74
137,1.00,68.00,525.68,1240677.00,7830.69
139,1.00,69.00,519.46,1459830.00,8275.46
141,1.00,70.00,514.87,2043360.00,9470.74
143,1.00,71.00,512.09,1840168.00,8970.82
145,1.00,72.00,508.84,1505796.00,8196.95
147,1.00,73.00,506.38,1378284.00,7996.00
149,1.00,74.00,507.24,1115061.00,7074.02
151,1.00,75.00,517.67,1355315.00,8108.85
153,1.00,76.00,527.01,1295619.00,7635.96
155,1.00,77.00,534.31,1494361.00,8465.30
157,1.00,78.00,539.94,1641397.00,8451.83
159,1.00,79.00,545.02,1909631.00,9553.25
161,1.00,80.00,548.84,1476766.00,7671.57
163,1.00,81.00,552.96,1277772.00,7291.55
165,1.00,82.00,556.27,1398523.00,7832.83
167,1.00,83.00,559.88,1220123.00,6861.31
169,1.00,84.00,558.64,1280956.00,8349.49
171,1.00,85.00,544.49,1367306.00,9067.51
173,1.00,86.00,536.15,2064739.00,10973.63
175,1.00,87.00,529.59,2053990.00,10347.30
177,1.00,88.00,524.60,2352829.00,11342.94
179,1.00,89.00,519.86,1967828.00,10106.27
181,1.00,90.00,515.97,1964488.00,9919.03
183,1.00,91.00,512.33,1227300.00,7374.40
185,1.00,92.00,507.86,1206542.00,7500.79
187,1.00,93.00,504.41,1635866.00,9109.28
189,1.00,94.00,506.58,2314739.00,12393.41
191,1.00,95.00,515.25,1818735.00,9708.01
193,1.00,96.00,523.54,2168559.00,10957.94
195,1.00,97.00,527.90,2457629.00,11266.74
197,1.00,98.00,531.68,1901289.00,9623.35
199,1.00,99.00,536.03,1083607.00,6777.29
201,1.00,100.00,541.56,1013363.00,6829.33
203,1.00,101.00,544.88,1564273.00,8194.35
205,1.00,102.00,548.82,1776601.00,9308.89
207,1.00,103.00,550.49,1620128.00,9115.25
209,1.00,104.00,548.84,1611137.00,10015.68
211,1.00,105.00,535.59,1096109.00,7569.28
213,1.00,106.00,527.70,1142253.00,7759.69
215,1.00,107.00,521.14,1188590.00,7175.64
217,1.00,108.00,516.69,1039262.00,6426.66
219,1.00,109.00,511.81,1017801.00,6364.16
221,1.00,110.00,506.62,1091014.00,6711.58
223,1.00,111.00,501.94,1239707.00,7007.34
225,1.00,112.00,496.88,1312568.00,7706.58
227,1.00,113.00,494.10,1466094.00,8125.13
229,1.00,114.00,501.01,1305538.00,8793.63
231,1.00,115.00,511.06,1180243.00,6882.23
233,1.00,116.00,518.87,1183998.00,7356.55
235,1.00,117.00,525.01,1345783.00,7390.01
237,1.00,118.00,530.43,1651532.00,8557.51
239,1.00,119.00,534.64,2105924.00,10126.99
241,1.00,120.00,538.02,2218674.00,11267.60
243,1.00,121.00,541.28,1385227.00,7163.91
245,1.00,122.00,545.61,1068582.00,6320.31
247,1.00,123.00,548.22,1134816.00,7047.76
249,1.00,124.00,541.41,1578325.00,9897.89
251,1.00,125.00,533.18,1845127.00,10230.91
253,1.00,126.00,526.32,2504411.00,12693.88
255,1.00,127.00,521.69,1589177.00,9126.30
257,1.00,128.00,515.64,1193390.00,7531.42
259,1.00,129.00,512.08,1089934.00,6448.89
261,1.00,130.00,506.90,1221524.00,7178.03
263,1.00,131.00,503.30,1527319.00,8416.91
