,tag,t,z,mass,width
265,1.00,132.00,500.58,1213271.00,7407.57
267,1.00,133.00,498.10,972782.00,6363.99
269,1.00,134.00,508.29,1372549.00,8633.44
271,1.00,135.00,516.86,1477127.00,8587.17
273,1.00,136.00,524.30,1825528.00,9706.79
275,1.00,137.00,529.53,1464131.00,8091.71
277,1.00,138.00,533.37,1403383.00,7765.49
279,1.00,139.00,537.51,1544151.00,8291.44
281,1.00,140.00,540.67,1778647.00,8699.42
283,1.00,141.00,544.69,1409854.00,7818.74
285,1.00,142.00,547.82,1332335.00,7712.94
287,1.00,143.00,548.18,1488897.00,8455.48
289,1.00,144.00,538.39,1431788.00,8937.09
291,1.00,145.00,531.59,1616204.00,8890.53
293,1.00,146.00,525.00,1625040.00,9014.14
295,1.00,147.00,519.18,1177768.00,7128.82
297,1.00,148.00,515.03,1668879.00,8549.59
299,1.00,149.00,512.45,1584897.00,7934.13
301,1.00,150.00,508.41,1873636.00,8904.92
303,1.00,151.00,505.31,1536107.00,8325.52
305,1.00,152.00,502.03,1264705.00,7054.71
307,1.00,153.00,503.63,1051720.00,7334.14
309,1.00,154.00,515.08,1107219.00,7408.89
311,1.00,155.00,523.50,1443661.00,8151.42
313,1.00,156.00,528.27,1581962.00,9046.09
315,1.00,157.00,532.59,1505535.00,8807.87
317,1.00,158.00,539.12,1243179.00,7406.28
319,1.00,159.00,542.92,1860606.00,8941.78
321,1.00,160.00,546.34,1719753.00,8426.59
323,1.00,161.00,550.30,1249392.00,6665.38
325,1.00,162.00,552.58,1308908.00,7657.14
327,1.00,163.00,551.75,1281726.00,8664.48
329,1.00,164.00,542.12,1366638.00,8194.43
331,1.00,165.00,532.33,1211923.00,7666.98
333,1.00,166.00,525.85,1223590.00,7678.54
335,1.00,167.00,520.42,1289376.00,7654.42
337,1.00,168.00,514.86,1305353.00,7397.03
339,1.00,169.00,508.70,1595753.00,8747.63
341,1.00,170.00,505.38,1526528.00,8548.73
343,1.00,171.00,501.84,1830146.00,9233.47
345,1.00,172.00,498.91,1500585.00,7778.69
347,1.00,173.00,504.38,1268806.00,8028.78
349,1.00,174.00,513.49,1051269.00,6510.74
351,1.00,175.00,523.05,1197970.00,7426.95
353,1.00,176.00,528.96,1535436.00,8299.13
355,1.00,177.00,531.61,1589710.00,8505.10
357,1.00,178.00,535.71,1263494.00,7005.91
359,1.00,179.00,540.69,1144632.00,6829.76
361,1.00,180.00,544.16,1766596.00,8652.50
363,1.00,181.00,545.92,2116095.00,10080.00
365,1.00,182.00,547.33,1877369.00,9293.42
367,1.00,183.00,542.08,1268019.00,8400.04
369,1.00,184.00,531.63,1401626.00,8740.87
371,1.00,185.00,525.25,1946404.00,10422.18
373,1.00,186.00,519.86,1708330.00,9112.72
375,1.00,187.00,515.11,1509380.00,8501.43
377,1.00,188.00,510.79,1514963.00,8123.21
379,1.00,189.00,507.89,1480409.00,8158.55
381,1.00,190.00,505.13,1618558.00,9071.52
383,1.00,191.00,500.77,1425131.00,7877.47
385,1.00,192.00,499.18,1643876.00,8610.33
387,1.00,193.00,504.97,1267283.00,8370.32
389,1.00,194.00,515.99,1274580.00,7590.88
391,1.00,195.00,521.80,1376116.00,7793.85
393,1.00,196.00,528.74,1135044.00,7115.82
395,1.00,197.00,533.34,1637360.00,9072.69
397,1.00,198.00,538.10,2018640.00,9728.62
399,1.00,199.00,541.06,1631155.00,8089.03
401,1.00,200.00,543.83,1934463.00,9314.45
403,1.00,201.00,546.63,1909834.00,9153.42
405,1.00,202.00,548.35,1307648.00,7561.41
407,1.00,203.00,539.34,1422766.00,9215.63
410,1.00,204.00,531.16,1344841.00,8597.37
413,1.00,205.00,523.67,1730028.00,10143.66
416,1.00,206.00,518.84,2537846.00,11886.83
419,1.00,207.00,515.65,1769803.00,9406.23
422,1.00,208.00,511.47,1744366.00,8644.32
425,1.00,209.00,509.10,1797247.00,9562.08
428,1.00,210.00,506.52,1959859.00,9624.13
431,1.00,211.00,503.04,1816767.00,9347.84
434,1.00,212.00,502.27,2096411.00,10062.04
437,1.00,213.00,511.07,1821418.00,9889.18
440,1.00,214.00,518.30,2167717.00,10880.95
443,1.00,215.00,523.13,1816485.00,9429.44
446,1.00,216.00,529.33,1158047.00,7024.44
449,1.00,217.00,533.58,1129426.00,7091.21
452,1.00,218.00,539.08,1163395.00,6855.78
455,1.00,219.00,542.38,1419811.00,7741.83
458,1.00,220.00,546.58,1151575.00,7110.43
461,1.00,221.00,550.78,1495674.00,8241.23
464,1.00,222.00,550.80,1897289.00,9921.23
467,1.00,223.00,542.72,2048675.00,10624.58
470,1.00,224.00,534.52,2113516.00,10957.57
473,1.00,225.00,529.01,1827701.00,9843.01
476,1.00,226.00,523.43,2321809.00,11928.25
479,1.00,227.00,519.75,2096760.00,10263.46
482,1.00,228.00,515.12,1765854.00,8746.90
485,1.00,229.00,511.88,2034961.00,10134.12
488,1.00,230.00,507.96,1749858.00,9308.78
491,1.00,231.00,503.88,1971192.00,10044.79
494,1.00,232.00,505.19,1494787.00,9685.50
497,1.00,233.00,517.85,1760741.00,9541.10
500,1.00,234.00,523.78,2177301.00,11553.97
503,1.00,235.00,530.68,2097552.00,10566.70
506,1.00,236.00,535.00,2128597.00,10890.43
509,1.00,237.00,538.92,2395755.00,10771.11
512,1.00,238.00,543.56,1796306.00,9468.35
515,1.00,239.00,547.50,1803844.00,8809.98
518,1.00,240.00,551.18,1308376.00,7647.78
521,1.00,241.00,554.37,1833772.00,9724.71
524,1.00,242.00,551.07,1830674.00,11368.41
527,1.00,243.00,540.93,2120728.00,11229.09
530,1.00,244.00,532.63,1662701.00,9810.82
533,1.00,245.00,524.89,2093738.00,11244.42
536,1.00,246.00,521.10,1862152.00,9575.58
539,1.00,247.00,516.59,2011525.00,9865.16
542,1.00,248.00,512.05,1609597.00,8588.27
545,1.00,249.00,509.34,1383718.00,7600.90
548,1.00,250.00,507.80,1179431.00,6565.63
551,1.00,251.00,503.35,1190438.00,7006.59
554,1.00,252.00,508.03,1643531.00,10119.07
557,1.00,253.00,517.61,1701080.00,9460.17
560,1.00,254.00,525.26,1630915.00,8732.21
563,1.00,255.00,530.48,1742876.00,9283.52
566,1.00,256.00,536.14,1468025.00,7876.48
569,1.00,257.00,540.14,1929813.00,9652.75
572,1.00,258.00,543.60,1770988.00,8913.25
575,1.00,259.00,546.62,1321827.00,7309.59
578,1.00,260.00,548.13,1676173.00,8997.06
581,1.00,261.00,550.62,1447443.00,7959.16
584,1.00,262.00,545.42,1253326.00,8505.09
587,1.00,263.00,534.48,1258452.00,7656.82
590,1.00,264.00,527.72,1522855.00,8999.13
593,1.00,265.00,522.14,1799913.00,10264.50
596,1.00,266.00,517.34,2303757.00,11344.60
599,1.00,267.00,513.56,1634556.00,8057.87
602,1.00,268.00,508.69,1168991.00,6763.58
605,1.00,269.00,505.70,1386196.00,7521.94
608,1.00,270.00,501.10,1410077.00,8156.68
611,1.00,271.00,499.36,1589548.00,8797.94
614,1.00,272.00,506.48,1513356.00,9561.04
617,1.00,273.00,517.78,1340963.00,7712.79
620,1.00,274.00,524.71,1238128.00,7043.78
623,1.00,275.00,530.73,1254784.00,7597.89
626,1.00,276.00,534.82,1545051.00,8469.82
629,1.00,277.00,538.31,1289580.00,7704.90
632,1.00,278.00,542.11,1211481.00,7545.05
635,1.00,279.00,546.62,1012821.00,6368.86
638,1.00,280.00,550.36,1076366.00,6863.85
641,1.00,281.00,552.00,1724258.00,9096.50
644,1.00,282.00,545.64,1812305.00,10658.97
647,1.00,283.00,536.05,1545572.00,9390.10
650,1.00,284.00,529.75,1564376.00,9074.67
653,1.00,285.00,525.72,1456553.00,8330.00
656,1.00,286.00,519.02,1514250.00,8815.50
659,1.00,287.00,515.93,1645742.00,8526.35
662,1.00,288.00,511.19,1402032.00,8223.41
665,1.00,289.00,506.03,1832920.00,9035.15
668,1.00,290.00,503.72,2086306.00,10577.25
671,1.00,291.00,503.29,1716806.00,9872.04
674,1.00,292.00,513.24,1610891.00,9666.84
677,1.00,293.00,520.48,1846775.00,9945.43
680,1.00,294.00,527.62,1655820.00,9001.34
683,1.00,295.00,531.62,2371644.00,10764.98
686,1.00,296.00,534.71,2296350.00,10930.92
689,1.00,297.00,537.20,2015968.00,10618.93
692,1.00,298.00,540.67,1808033.00,9171.17
695,1.00,299.00,544.03,2095330.00,10323.25
698,1.00,300.00,547.47,1819771.00,9075.59
701,1.00,301.00,546.73,1375128.00,8858.92
704,1.00,302.00,536.09,1550706.00,8956.02
707,1.00,303.00,527.32,1457791.00,8742.90
710,1.00,304.00,520.60,1425299.00,8541.82
713,1.00,305.00,514.30,1856462.00,9326.91
716,1.00,306.00,510.20,1886687.00,9715.96
719,1.00,307.00,505.92,1608811.00,8702.03
722,1.00,308.00,501.99,2095719.00,10808.16
725,1.00,309.00,500.00,2295154.00,10929.58
728,1.00,310.00,498.48,1141573.00,7225.83
731,1.00,311.00,501.41,1099791.00,7480.67
734,1.00,312.00,511.52,1779690.00,9335.94
737,1.00,313.00,517.50,1934149.00,9615.45
740,1.00,314.00,522.89,1747217.00,8733.32
743,1.00,315.00,527.61,1445145.00,8654.71
746,1.00,316.00,531.28,1670525.00,8650.08
749,1.00,317.00,534.72,1714653.00,9990.52
752,1.00,318.00,540.23,1241690.00,7218.71
755,1.00,319.00,544.26,1535827.00,8320.35
758,1.00,320.00,547.47,1742587.00,9227.86
761,1.00,321.00,545.47,1855593.00,10386.43
764,1.00,322.00,536.06,1972457.00,10665.57
767,1.00,323.00,529.35,1690884.00,9262.26
770,1.00,324.00,524.69,2094003.00,11047.57
773,1.00,325.00,522.14,2235357.00,11486.36
776,1.00,326.00,517.78,1504094.00,8028.33
779,1.00,327.00,513.95,1361151.00,7181.20
782,1.00,328.00,510.33,1788125.00,9723.35
785,1.00,329.00,508.30,1623721.00,8161.93
788,1.00,330.00,505.86,1543790.00,8331.49
791,1.00,331.00,511.30,1449738.00,8691.87
794,1.00,332.00,520.36,1254290.00,7953.55
797,1.00,333.00,529.85,1124673.00,7374.57
800,1.00,334.00,537.41,1388526.00,7743.56
803,1.00,335.00,541.15,2256569.00,10815.27
806,1.00,336.00,544.93,1932545.00,9751.00
809,1.00,337.00,548.10,2371738.00,11012.37
812,1.00,338.00,550.43,2074069.00,10670.00
815,1.00,339.00,554.98,2099164.00,10539.62
818,1.00,340.00,557.44,2341927.00,11003.62
821,1.00,341.00,551.41,2462115.00,13302.73
824,1.00,342.00,543.66,2283932.00,11058.61
827,1.00,343.00,537.16,2002955.00,10122.45
830,1.00,344.00,531.69,2054203.00,10326.96
833,1.00,345.00,526.27,1798047.00,9301.83
836,1.00,346.00,522.09,2158764.00,10369.09
839,1.00,347.00,519.77,2348818.00,10924.92
842,1.00,348.00,516.54,1819533.00,8989.74
845,1.00,349.00,513.28,1752779.00,8732.38
848,1.00,350.00,510.75,1925576.00,9678.06
851,1.00,351.00,517.82,1939465.00,10860.65
854,1.00,352.00,528.09,1386853.00,8556.42
857,1.00,353.00,535.10,1185700.00,7599.26
860,1.00,354.00,541.43,1009510.00,6561.09
863,1.00,355.00,547.65,1188377.00,7116.39
866,1.00,356.00,551.55,1334176.00,7221.56
869,1.00,357.00,555.62,1380179.00,8637.35
872,1.00,358.00,559.62,1290314.00,7414.53
875,1.00,359.00,563.40,1414446.00,8151.72
878,1.00,360.00,565.74,1533424.00,8496.66
881,1.00,361.00,556.08,1610040.00,9840.14
884,1.00,362.00,548.26,2010316.00,10555.64
887,1.00,363.00,541.99,2096979.00,10381.68
890,1.00,364.00,536.75,2035410.00,10610.95
893,1.00,365.00,532.62,1731166.00,9375.59
896,1.00,366.00,530.37,1705035.00,9229.72
899,1.00,367.00,526.47,1977230.00,10308.57
902,1.00,368.00,524.45,1494532.00,8763.68
905,1.00,369.00,520.59,1278596.00,7773.61
908,1.00,370.00,519.48,1473082.00,9446.30
911,1.00,371.00,530.23,1850027.00,10437.06
914,1.00,372.00,536.80,2111886.00,10281.02
917,1.00,373.00,543.91,1572258.00,8859.89
920,1.00,374.00,548.00,1838482.00,9760.12
923,1.00,375.00,552.97,1434760.00,7943.21
926,1.00,376.00,555.46,1709162.00,9527.08
929,1.00,377.00,559.99,1523971.00,8223.51
932,1.00,378.00,563.57,1892034.00,9492.34
935,1.00,379.00,565.93,1560070.00,8504.89
938,1.00,380.00,565.42,1750820.00,10008.76
941,1.00,381.00,554.15,1835091.00,11093.77
944,1.00,382.00,546.27,1950963.00,10619.02
947,1.00,383.00,537.62,2229797.00,11126.74
950,1.00,384.00,532.66,1939237.00,10281.62
953,1.00,385.00,527.84,1288805.00,7776.66
956,1.00,386.00,522.83,1108179.00,7040.04
959,1.00,387.00,518.74,1730696.00,9112.71
962,1.00,388.00,515.62,2363877.00,11043.88
965,1.00,389.00,512.88,2002017.00,9879.35
968,1.00,390.00,514.93,2307482.00,11301.61
971,1.00,391.00,521.89,1639856.00,9838.25
974,1.00,392.00,531.56,1236047.00,7593.59
977,1.00,393.00,536.83,1289258.00,7420.81
980,1.00,394.00,541.96,1146842.00,7176.78
983,1.00,395.00,548.02,1056481.00,6622.05
986,1.00,396.00,552.91,1272848.00,7601.39
989,1.00,397.00,557.02,1566581.00,8874.52
992,1.00,398.00,560.19,1299882.00,7648.92
995,1.00,399.00,564.31,986576.00,5854.35
998,1.00,400.00,558.75,1127172.00,7546.03
1001,1.00,401.00,547.87,1089430.00,7492.79
1004,1.00,402.00,538.90,1257474.00,7543.88
1007,1.00,403.00,534.61,1802653.00,10045.29
1010,1.00,404.00,530.98,1596314.00,9329.44
1013,1.00,405.00,527.39,1493455.00,8318.61
1016,1.00,406.00,523.91,1611149.00,9156.30
1019,1.00,407.00,521.10,1500607.00,8439.83
1022,1.00,408.00,516.97,1622196.00,8537.15
1025,1.00,409.00,514.81,1447271.00,8044.68
1028,1.00,410.00,519.98,1297102.00,8903.70
1031,1.00,411.00,530.93,987370.00,7204.68
1034,1.00,412.00,540.51,988903.00,6387.24
1037,1.00,413.00,546.32,1182104.00,7110.13
1040,1.00,414.00,551.02,1263866.00,7742.36
1043,1.00,415.00,555.40,1428767.00,7960.87
1046,1.00,416.00,558.79,1336074.00,7628.30
1049,1.00,417.00,562.06,1487205.00,8222.95
1052,1.00,418.00,564.73,1616782.00,8657.57
1055,1.00,419.00,566.63,1096375.00,7120.89
1058,1.00,420.00,557.95,1732720.00,10075.80
1061,1.00,421.00,549.33,1754220.00,9947.93
1064,1.00,422.00,543.46,1661939.00,9041.83
1067,1.00,423.00,538.32,1406139.00,8107.28
1070,1.00,424.00,533.46,1344946.00,7987.63
1073,1.00,425.00,530.20,1644365.00,8384.77
1076,1.00,426.00,525.17,1424664.00,8061.51
1079,1.00,427.00,522.72,1759765.00,10157.20
1082,1.00,428.00,519.15,1572082.00,8470.18
1085,1.00,429.00,517.29,1649939.00,8751.16
1088,1.00,430.00,523.02,1589603.00,9955.93
1091,1.00,431.00,531.43,1473936.00,9082.10
1094,1.00,432.00,538.96,1391361.00,8248.29
1097,1.00,433.00,545.58,1190676.00,7595.03
1100,1.00,434.00,552.35,1013458.00,6601.48
1103,1.00,435.00,558.85,1206562.00,7107.08
1106,1.00,436.00,563.71,1209115.00,6771.84
1109,1.00,437.00,567.68,1463174.00,7836.31
1112,1.00,438.00,571.25,1240658.00,7147.72
1115,1.00,439.00,570.58,1717824.00,9210.45
1118,1.00,440.00,563.21,1782216.00,9844.41
1121,1.00,441.00,554.48,1698497.00,9881.42
1124,1.00,442.00,547.96,1380799.00,7927.96
1127,1.00,443.00,542.40,1106032.00,6971.36
1130,1.00,444.00,536.73,999295.00,6488.53
1133,1.00,445.00,531.95,1159263.00,7354.56
1136,1.00,446.00,527.40,1182109.00,7189.07
1139,1.00,447.00,523.49,1159708.00,7125.63
1142,1.00,448.00,519.79,1157892.00,7389.98
1145,1.00,449.00,519.72,1398632.00,8342.40
1148,1.00,450.00,528.83,1261290.00,8808.06
1151,1.00,451.00,539.48,1073185.00,6342.84
1154,1.00,452.00,544.70,1429565.00,8287.41
1157,1.00,453.00,550.18,1707886.00,9635.99
1160,1.00,454.00,553.89,1247195.00,7616.02
1163,1.00,455.00,558.66,1088561.00,7107.48
1166,1.00,456.00,564.25,1299646.00,7526.08
1169,1.00,457.00,568.32,1184481.00,7185.69
1172,1.00,458.00,572.32,1224586.00,7203.99
1175,1.00,459.00,572.02,1415013.00,8414.00
1178,1.00,460.00,559.65,1180360.00,8009.60
1181,1.00,461.00,549.76,1989054.00,10140.55
1184,1.00,462.00,544.43,2216824.00,10950.03
1187,1.00,463.00,541.14,1758768.00,9290.47
1190,1.00,464.00,537.32,1371300.00,7750.81
1193,1.00,465.00,532.62,1710276.00,8731.70
1196,1.00,466.00,529.50,1739854.00,8594.99
1199,1.00,467.00,526.15,1485597.00,8012.55
1202,1.00,468.00,523.02,1640372.00,9320.21
1205,1.00,469.00,525.04,1178080.00,7791.50
1208,1.00,470.00,536.97,1502436.00,9088.88
1211,1.00,471.00,544.60,1715957.00,9230.81
1214,1.00,472.00,550.86,2040128.00,10378.55
1217,1.00,473.00,556.11,1485622.00,8156.26
1220,1.00,474.00,562.15,1116382.00,7030.71
1223,1.00,475.00,567.89,1126198.00,6742.25
1226,1.00,476.00,572.94,1051150.00,6656.73
1229,1.00,477.00,577.41,1211034.00,6342.80
1232,1.00,478.00,578.41,1208597.00,7172.08
1235,1.00,479.00,572.31,1125265.00,8233.00
1238,1.00,480.00,559.26,1063822.00,7432.24
1241,1.00,481.00,550.02,1143472.00,7733.43
1244,1.00,482.00,543.69,1071338.00,6766.06
1247,1.00,483.00,536.13,1028233.00,6337.55
1250,1.00,484.00,531.19,1151020.00,7236.19
1253,1.00,485.00,527.37,1581578.00,8723.74
1256,1.00,486.00,523.28,1711494.00,9116.15
1259,1.00,487.00,520.05,1523682.00,8780.77
1262,1.00,488.00,516.88,1370349.00,7680.80
1265,1.00,489.00,522.08,1677330.00,9680.84
1268,1.00,490.00,530.62,1392490.00,8287.43
1271,1.00,491.00,538.15,1383243.00,7823.89
1274,1.00,492.00,544.49,1140080.00,6747.52
1277,1.00,493.00,550.98,1278460.00,6921.75
1280,1.00,494.00,554.48,1081687.00,6909.11
1283,1.00,495.00,560.08,910406.00,5515.91
1286,1.00,496.00,562.10,1039607.00,6796.19
1289,1.00,497.00,567.33,1305086.00,7281.37
1292,1.00,498.00,569.06,1965049.00,9810.59
1295,1.00,499.00,563.77,1389388.00,8971.26
1298,1.00,500.00,552.01,1162206.00,7342.65
1301,1.00,501.00,543.62,1859831.00,9682.78
1304,1.00,502.00,539.11,2137148.00,10545.87
1307,1.00,503.00,534.31,2045233.00,10272.31
1310,1.00,504.00,532.10,2211409.00,10030.79
1313,1.00,505.00,528.83,2214163.00,11077.46
1316,1.00,506.00,524.18,1718640.00,8636.87
1319,1.00,507.00,522.32,1813256.00,10867.47
1322,1.00,508.00,520.98,1086111.00,6372.03
1325,1.00,509.00,530.85,1481144.00,9363.26
1328,1.00,510.00,538.34,1747515.00,9470.37
1331,1.00,511.00,544.95,1629810.00,9121.95
1334,1.00,512.00,549.98,1640887.00,8886.78
1337,1.00,513.00,554.66,1247295.00,7829.29
1340,1.00,514.00,559.93,1742937.00,9241.99
1343,1.00,515.00,563.64,1954288.00,9814.01
1346,1.00,516.00,565.95,1643534.00,8251.29
1349,1.00,517.00,567.62,1445831.00,7853.91
1352,1.00,518.00,568.28,1177098.00,7545.74
1355,1.00,519.00,558.00,1389606.00,9100.13
1358,1.00,520.00,549.51,1328978.00,8240.86
1361,1.00,521.00,543.12,1576230.00,8722.34
1364,1.00,522.00,537.19,1412941.00,8126.23
1367,1.00,523.00,532.57,1608395.00,8466.77
1370,1.00,524.00,528.19,1461637.00,8528.79
1373,1.00,525.00,524.48,1767681.00,8890.77
1376,1.00,526.00,521.47,1178857.00,7396.41
1379,1.00,527.00,517.71,1086292.00,6346.65
1382,1.00,528.00,519.09,1377714.00,8129.39
1385,1.00,529.00,529.20,1594634.00,9223.95
1388,1.00,530.00,535.27,1853562.00,9774.85
1391,1.00,531.00,540.95,1788433.00,9448.89
1394,1.00,532.00,545.56,1535893.00,8232.62
1397,1.00,533.00,548.75,1382855.00,7895.32
1400,1.00,534.00,553.48,1073269.00,7104.04
1403,1.00,535.00,559.01,1660865.00,8924.23
1406,1.00,536.00,562.64,1618657.00,8385.47
1409,1.00,537.00,566.17,1059832.00,6088.84
1412,1.00,538.00,564.13,1415226.00,8922.46
1415,1.00,539.00,552.61,1426566.00,8708.37
1418,1.00,540.00,546.00,1945129.00,9854.65
1421,1.00,541.00,540.98,1843038.00,9552.28
1424,1.00,542.00,535.42,1845109.00,9654.04
1427,1.00,543.00,530.86,1553539.00,8634.54
1430,1.00,544.00,528.30,1475224.00,8481.29
1433,1.00,545.00,525.20,1553411.00,8138.95
1436,1.00,546.00,523.78,1533905.00,8872.40
1439,1.00,547.00,521.12,1628161.00,9338.25
1442,1.00,548.00,524.62,1511776.00,9112.55
1445,1.00,549.00,536.31,1559978.00,8944.05
1448,1.00,550.00,542.38,2135097.00,10443.25
1451,1.00,551.00,547.04,2005720.00,9973.02
1454,1.00,552.00,551.42,1737546.00,9574.09
