,tag,t,z,mass,width
4338,1.00,2180.00,431.06,747209.00,4960.15
4340,1.00,2181.00,431.20,751368.00,5156.07
4342,1.00,2182.00,430.06,603183.00,3939.48
4344,1.00,2183.00,429.55,659190.00,4355.02
4346,1.00,2184.00,429.17,530033.00,3496.97
4348,1.00,2185.00,429.20,489940.00,3260.02
4350,1.00,2186.00,429.49,493724.00,3461.56
4352,1.00,2187.00,429.56,694940.00,4836.27
4354,1.00,2188.00,429.01,941435.00,6552.39
4356,1.00,2189.00,428.67,806259.00,6098.11
4358,1.00,2190.00,429.73,475188.00,3385.94
4360,1.00,2191.00,432.11,499593.00,3612.90
4362,1.00,2192.00,432.03,493228.00,3609.69
4364,1.00,2193.00,430.93,753099.00,5471.32
4366,1.00,2194.00,431.55,681648.00,4736.03
4368,1.00,2195.00,429.71,395746.00,2848.80
4370,1.00,2196.00,430.33,401333.00,2897.57
4372,1.00,2197.00,430.45,459720.00,3375.83
4374,1.00,2198.00,430.45,492268.00,3433.30
4376,1.00,2199.00,428.87,541995.00,3524.94
4378,1.00,2200.00,429.65,635200.00,4120.64
4380,1.00,2201.00,428.96,717070.00,4577.32
4382,1.00,2202.00,427.67,678858.00,4342.63
4384,1.00,2203.00,429.36,619468.00,4372.63
4386,1.00,2204.00,429.21,496564.00,3443.79
4388,1.00,2205.00,429.54,604453.00,4142.65
4390,1.00,2206.00,429.52,803448.00,4960.16
4392,1.00,2207.00,429.30,728221.00,4851.16
4394,1.00,2208.00,428.23,782694.00,5964.59
4396,1.00,2209.00,427.70,815532.00,6132.21
4398,1.00,2210.00,428.03,911441.00,6552.42
4400,1.00,2211.00,428.30,967119.00,6599.65
4402,1.00,2212.00,428.76,602985.00,5040.81
4404,1.00,2213.00,429.62,476021.00,3407.74
4406,1.00,2214.00,430.84,515963.00,3810.79
4408,1.00,2215.00,429.17,530190.00,4028.12
4410,1.00,2216.00,429.85,734799.00,5309.71
4412,1.00,2217.00,430.23,763856.00,5574.52
4414,1.00,2218.00,431.32,576475.00,3863.84
4416,1.00,2219.00,431.99,559170.00,3873.30
4418,1.00,2220.00,432.37,620081.00,4063.14
4420,1.00,2221.00,431.97,716850.00,4508.27
4422,1.00,2222.00,431.96,630107.00,4444.65
4424,1.00,2223.00,432.17,717544.00,4567.72
4426,1.00,2224.00,430.54,721247.00,4959.34
4428,1.00,2225.00,431.01,583359.00,5021.98
4430,1.00,2226.00,430.52,468077.00,3514.36
4432,1.00,2227.00,429.49,591752.00,4395.36
4434,1.00,2228.00,430.12,601400.00,4634.67
4436,1.00,2229.00,429.65,924844.00,6399.95
4438,1.00,2230.00,430.89,1005058.00,6601.81
4440,1.00,2231.00,430.52,766459.00,5265.73
4442,1.00,2232.00,431.37,680309.00,5038.47
4444,1.00,2233.00,432.81,462037.00,3414.89
4446,1.00,2234.00,433.45,557516.00,3923.15
4448,1.00,2235.00,435.21,793909.00,5478.88
4450,1.00,2236.00,434.73,611461.00,4371.88
4452,1.00,2237.00,435.15,892753.00,5778.88
4454,1.00,2238.00,434.65,631103.00,4309.75
4456,1.00,2239.00,433.98,532684.00,3584.37
4458,1.00,2240.00,434.04,619051.00,4319.39
4460,1.00,2241.00,434.64,595455.00,4089.59
4462,1.00,2242.00,434.04,650501.00,4447.88
4464,1.00,2243.00,434.78,677030.00,4490.20
4466,1.00,2244.00,434.90,602689.00,4255.50
4468,1.00,2245.00,435.19,636220.00,4434.31
4470,1.00,2246.00,434.63,488033.00,3744.04
4472,1.00,2247.00,433.99,517706.00,3616.42
4474,1.00,2248.00,432.12,650724.00,4747.60
4476,1.00,2249.00,433.56,453662.00,3190.05
4478,1.00,2250.00,433.25,620833.00,4374.88
4480,1.00,2251.00,433.50,822265.00,5385.86
4482,1.00,2252.00,433.87,886385.00,5720.97
4484,1.00,2253.00,433.71,860024.00,5669.93
4486,1.00,2254.00,432.99,946113.00,5897.11
4488,1.00,2255.00,433.46,914955.00,5662.42
4490,1.00,2256.00,434.15,1052774.00,6400.64
4492,1.00,2257.00,433.79,1047261.00,6180.19
4494,1.00,2258.00,433.94,1002888.00,6180.63
4496,1.00,2259.00,434.86,1057848.00,6923.20
4498,1.00,2260.00,434.40,1029049.00,6153.63
4500,1.00,2261.00,433.91,1005664.00,6118.93
4502,1.00,2262.00,434.10,1170653.00,6740.83
4504,1.00,2263.00,433.81,1021607.00,6209.74
4506,1.00,2264.00,433.57,778410.00,5396.69
4508,1.00,2265.00,434.31,489035.00,3350.08
4510,1.00,2266.00,432.28,566227.00,3929.26
4512,1.00,2267.00,431.25,789134.00,5245.13
4514,1.00,2268.00,430.57,791002.00,5366.73
4516,1.00,2269.00,429.66,683325.00,5035.80
4518,1.00,2270.00,430.52,540573.00,4204.00
4520,1.00,2271.00,429.60,845059.00,5745.24
4522,1.00,2272.00,429.60,1151498.00,7165.37
4524,1.00,2273.00,429.73,932960.00,6314.82
4526,1.00,2274.00,430.01,876863.00,6093.51
4528,1.00,2275.00,430.82,926054.00,6367.03
4530,1.00,2276.00,431.64,527347.00,3574.43
4532,1.00,2277.00,431.77,421741.00,3007.02
4534,1.00,2278.00,432.81,511434.00,3897.15
4536,1.00,2279.00,433.66,567616.00,4285.08
4538,1.00,2280.00,433.83,636146.00,4756.37
4540,1.00,2281.00,432.09,619219.00,3893.82
4542,1.00,2282.00,433.30,599010.00,4430.46
4544,1.00,2283.00,433.91,589369.00,4185.35
4546,1.00,2284.00,432.82,591094.00,4077.58
4548,1.00,2285.00,432.40,556640.00,3860.94
4550,1.00,2286.00,433.73,830918.00,5509.67
4552,1.00,2287.00,433.91,840895.00,5648.46
4554,1.00,2288.00,434.58,952888.00,6353.31
4556,1.00,2289.00,434.53,949011.00,6388.20
4558,1.00,2290.00,435.06,1047286.00,6694.47
4560,1.00,2291.00,435.15,792974.00,5919.49
4562,1.00,2292.00,437.16,451260.00,3176.81
4564,1.00,2293.00,437.91,650907.00,4404.04
4566,1.00,2294.00,438.76,866602.00,5217.09
4568,1.00,2295.00,439.09,817644.00,5230.99
4570,1.00,2296.00,439.06,778489.00,5151.24
4572,1.00,2297.00,439.06,633796.00,4350.63
4574,1.00,2298.00,439.19,690956.00,4745.68
4576,1.00,2299.00,439.38,660463.00,4635.25
4578,1.00,2300.00,437.79,663960.00,4820.83
4580,1.00,2301.00,439.33,734313.00,4710.34
4582,1.00,2302.00,439.62,720832.00,4686.65
4584,1.00,2303.00,440.33,680608.00,4172.40
4586,1.00,2304.00,441.26,573600.00,3899.87
4588,1.00,2305.00,441.41,590678.00,4062.48
4590,1.00,2306.00,441.30,660146.00,4682.30
4592,1.00,2307.00,441.48,748417.00,5235.28
4594,1.00,2308.00,442.20,528703.00,3830.65
4596,1.00,2309.00,441.80,541409.00,3555.06
4598,1.00,2310.00,440.64,756423.00,5239.74
4600,1.00,2311.00,441.61,461313.00,3196.21
4602,1.00,2312.00,442.13,565045.00,4005.42
4604,1.00,2313.00,441.98,748110.00,5222.71
4606,1.00,2314.00,441.82,803096.00,5826.87
4608,1.00,2315.00,442.71,816463.00,5320.18
4610,1.00,2316.00,442.57,875489.00,5471.56
4612,1.00,2317.00,441.97,953401.00,5877.06
4614,1.00,2318.00,442.03,725370.00,4804.32
4616,1.00,2319.00,440.56,555701.00,3929.09
4618,1.00,2320.00,441.45,772111.00,4976.94
4620,1.00,2321.00,441.57,725577.00,4821.75
4622,1.00,2322.00,442.05,699724.00,5268.62
4624,1.00,2323.00,442.86,538460.00,3568.02
4626,1.00,2324.00,442.57,538182.00,4335.34
4628,1.00,2325.00,442.84,707824.00,5026.51
4630,1.00,2326.00,442.49,683210.00,4755.10
4632,1.00,2327.00,442.88,797626.00,5658.61
4634,1.00,2328.00,442.94,731940.00,5003.47
4636,1.00,2329.00,443.96,616214.00,4678.82
4638,1.00,2330.00,445.41,515543.00,3463.41
4640,1.00,2331.00,446.21,765958.00,4829.12
4642,1.00,2332.00,446.22,644696.00,4466.18
4644,1.00,2333.00,446.23,640272.00,4368.12
4646,1.00,2334.00,446.11,872551.00,5982.90
4648,1.00,2335.00,446.48,995120.00,6580.67
4650,1.00,2336.00,447.24,788023.00,5418.31
4652,1.00,2337.00,447.03,751246.00,4856.34
4654,1.00,2338.00,446.03,765979.00,5288.38
4656,1.00,2339.00,445.85,876928.00,5928.75
4658,1.00,2340.00,446.21,690485.00,4774.15
4660,1.00,2341.00,443.21,717157.00,4844.04
4662,1.00,2342.00,446.05,768624.00,5122.88
4664,1.00,2343.00,446.43,799243.00,5482.90
4666,1.00,2344.00,446.48,907505.00,6188.79
4668,1.00,2345.00,447.05,587442.00,4010.18
4670,1.00,2346.00,446.77,743126.00,5123.48
4672,1.00,2347.00,446.36,682932.00,5213.93
4674,1.00,2348.00,446.39,590948.00,4571.92
4676,1.00,2349.00,447.68,732043.00,5021.88
4678,1.00,2350.00,448.04,849810.00,5464.85
4680,1.00,2351.00,448.95,624143.00,4492.42
4682,1.00,2352.00,447.58,957492.00,6411.66
4684,1.00,2353.00,448.04,1002804.00,6319.65
4686,1.00,2354.00,448.13,1050943.00,6488.30
4688,1.00,2355.00,448.87,949649.00,6278.00
4690,1.00,2356.00,448.25,783756.00,5863.99
4692,1.00,2357.00,448.30,604248.00,4494.11
4694,1.00,2358.00,447.63,718615.00,5189.75
4696,1.00,2359.00,447.94,664034.00,5275.08
4698,1.00,2360.00,448.61,454722.00,3383.66
4700,1.00,2361.00,447.74,513045.00,4154.64
4702,1.00,2362.00,449.43,510575.00,3849.98
4704,1.00,2363.00,450.25,526192.00,3898.21
4706,1.00,2364.00,449.37,572075.00,4372.56
4708,1.00,2365.00,450.03,498397.00,3471.55
4710,1.00,2366.00,450.82,603182.00,3669.82
4712,1.00,2367.00,450.46,736424.00,4950.41
4714,1.00,2368.00,449.77,732976.00,5206.34
4716,1.00,2369.00,449.38,820397.00,6051.35
4718,1.00,2370.00,449.95,652645.00,4664.55
4720,1.00,2371.00,448.25,498315.00,3808.24
4722,1.00,2372.00,448.06,554911.00,3683.43
4724,1.00,2373.00,448.81,730477.00,4709.14
4726,1.00,2374.00,447.50,760021.00,5370.45
4728,1.00,2375.00,446.89,739085.00,5474.95
4730,1.00,2376.00,447.25,607878.00,4619.15
4732,1.00,2377.00,447.68,702290.00,4777.58
4734,1.00,2378.00,447.58,566791.00,4038.85
4736,1.00,2379.00,448.25,652263.00,4646.42
4738,1.00,2380.00,449.16,699858.00,5523.76
4740,1.00,2381.00,447.94,594723.00,4610.93
4742,1.00,2382.00,447.92,897087.00,5804.27
4744,1.00,2383.00,448.31,982098.00,6109.06
4746,1.00,2384.00,448.86,856210.00,6050.30
4748,1.00,2385.00,449.42,852404.00,5587.01
4750,1.00,2386.00,449.87,717055.00,4955.91
4752,1.00,2387.00,449.42,625579.00,4509.99
4754,1.00,2388.00,449.16,743386.00,5023.59
4756,1.00,2389.00,449.61,682578.00,4651.87
4758,1.00,2390.00,451.45,698058.00,5094.46
4760,1.00,2391.00,452.73,644878.00,4618.81
4762,1.00,2392.00,452.74,773741.00,5410.10
4764,1.00,2393.00,451.52,775133.00,5799.33
4766,1.00,2394.00,452.27,535237.00,3897.85
4768,1.00,2395.00,450.73,517409.00,3533.85
4770,1.00,2396.00,450.45,653152.00,5053.98
4772,1.00,2397.00,451.31,561762.00,4474.95
4774,1.00,2398.00,451.14,512355.00,3890.90
4776,1.00,2399.00,451.68,479709.00,3447.51
4778,1.00,2400.00,450.88,546126.00,3606.85
4780,1.00,2401.00,450.35,543339.00,3873.66
4782,1.00,2402.00,451.99,655958.00,4549.61
4784,1.00,2403.00,451.32,490261.00,3294.25
4786,1.00,2404.00,452.40,469022.00,3673.41
4788,1.00,2405.00,453.03,696512.00,4955.77
4790,1.00,2406.00,451.65,811928.00,5633.48
4792,1.00,2407.00,451.17,758749.00,5267.16
4794,1.00,2408.00,450.98,1033313.00,6265.40
4796,1.00,2409.00,450.94,940649.00,6043.42
4798,1.00,2410.00,451.36,816032.00,5000.59
4800,1.00,2411.00,451.23,601470.00,4000.82
4802,1.00,2412.00,450.36,477320.00,3234.01
4804,1.00,2413.00,451.14,787182.00,5045.60
4806,1.00,2414.00,450.73,837125.00,5454.29
4808,1.00,2415.00,450.72,696033.00,4367.24
4810,1.00,2416.00,450.64,650048.00,4278.73
4812,1.00,2417.00,450.38,489642.00,3243.20
4814,1.00,2418.00,450.61,437937.00,3084.09
4816,1.00,2419.00,451.17,508260.00,3277.83
4818,1.00,2420.00,450.81,585113.00,3668.52
4820,1.00,2421.00,449.99,656299.00,4772.50
4822,1.00,2422.00,450.45,778498.00,5203.03
4824,1.00,2423.00,450.54,848956.00,5818.73
4826,1.00,2424.00,449.20,638606.00,4749.97
4828,1.00,2425.00,450.30,525225.00,3896.66
4830,1.00,2426.00,451.14,465293.00,3191.76
4832,1.00,2427.00,450.76,558048.00,3606.35
4834,1.00,2428.00,450.42,656326.00,4104.23
4836,1.00,2429.00,450.99,889272.00,5844.18
4838,1.00,2430.00,450.67,779587.00,4911.93
4840,1.00,2431.00,450.06,572171.00,4345.20
4842,1.00,2432.00,450.56,727714.00,5177.12
4844,1.00,2433.00,449.59,957463.00,6337.92
4846,1.00,2434.00,450.38,861376.00,5704.17
4848,1.00,2435.00,450.59,806890.00,5384.23
4850,1.00,2436.00,449.73,650783.00,4935.24
4852,1.00,2437.00,450.16,661558.00,4795.56
4854,1.00,2438.00,449.72,723203.00,5110.88
4856,1.00,2439.00,449.22,748108.00,4925.31
4858,1.00,2440.00,448.37,815340.00,5790.25
4860,1.00,2441.00,449.09,783547.00,5697.02
4862,1.00,2442.00,450.47,696349.00,4815.73
4864,1.00,2443.00,450.41,822634.00,5408.73
4866,1.00,2444.00,450.08,603833.00,4728.84
4868,1.00,2445.00,453.16,501734.00,3273.20
4870,1.00,2446.00,453.48,568430.00,4427.15
4872,1.00,2447.00,453.88,684853.00,5404.80
4874,1.00,2448.00,454.28,656853.00,4942.45
4876,1.00,2449.00,454.64,501094.00,3563.76
4878,1.00,2450.00,453.65,763848.00,5057.54
4880,1.00,2451.00,453.51,728965.00,5210.22
4882,1.00,2452.00,453.73,895871.00,6335.76
4884,1.00,2453.00,454.05,605942.00,5014.30
4886,1.00,2454.00,455.40,687559.00,4648.65
4888,1.00,2455.00,452.12,918207.00,6624.99
4890,1.00,2456.00,442.07,785211.00,5833.33
4892,1.00,2457.00,432.41,635219.00,4744.43
4894,1.00,2458.00,424.91,700293.00,5143.00
4896,1.00,2459.00,418.85,648477.00,4480.26
4898,1.00,2460.00,413.94,709332.00,5053.12
4900,1.00,2461.00,408.39,598965.00,4177.38
4902,1.00,2462.00,403.09,704341.00,5078.79
4904,1.00,2463.00,400.14,803005.00,5580.90
4906,1.00,2464.00,394.99,783550.00,5220.49
4908,1.00,2465.00,390.69,484603.00,3407.98
4910,1.00,2466.00,386.66,459096.00,3374.08
4912,1.00,2467.00,381.67,605284.00,4677.44
4914,1.00,2468.00,377.30,609835.00,4166.12
4916,1.00,2469.00,373.24,984319.00,6282.96
4918,1.00,2470.00,370.48,1044763.00,6633.35
4920,1.00,2471.00,367.50,900881.00,6063.15
4922,1.00,2472.00,366.70,956651.00,6098.21
4924,1.00,2473.00,364.03,1016686.00,6463.31
4926,1.00,2474.00,361.29,783113.00,5408.76
4928,1.00,2475.00,357.94,684525.00,5063.62
4930,1.00,2476.00,353.90,689062.00,4839.35
4932,1.00,2477.00,351.42,786423.00,5556.06
4934,1.00,2478.00,349.33,811083.00,5362.44
4936,1.00,2479.00,349.61,542341.00,3594.22
4938,1.00,2480.00,346.20,683637.00,4801.91
4940,1.00,2481.00,344.42,912438.00,5903.55
4942,1.00,2482.00,342.13,822828.00,5863.15
4944,1.00,2483.00,341.65,724529.00,5538.62
4946,1.00,2484.00,340.30,566745.00,3828.15
4948,1.00,2485.00,339.05,640108.00,4621.27
4950,1.00,2486.00,337.36,607682.00,4420.03
4952,1.00,2487.00,336.82,646862.00,4444.74
4954,1.00,2488.00,336.18,753005.00,5675.11
4956,1.00,2489.00,333.28,594995.00,4460.30
4958,1.00,2490.00,331.57,477364.00,3410.28
4960,1.00,2491.00,328.28,541245.00,3758.58
4962,1.00,2492.00,327.75,718857.00,5110.70
4964,1.00,2493.00,325.59,543436.00,4270.60
4966,1.00,2494.00,324.03,455858.00,3138.25
4968,1.00,2495.00,322.50,563004.00,4102.45
4970,1.00,2496.00,320.93,580434.00,4250.68
4972,1.00,2497.00,318.28,498600.00,3762.74
4974,1.00,2498.00,315.89,585352.00,3892.43
4976,1.00,2499.00,313.04,702507.00,5064.94
4978,1.00,2500.00,310.58,905424.00,6271.31
4980,1.00,2501.00,309.60,921668.00,6242.83
4982,1.00,2502.00,308.74,778181.00,5515.43
4984,1.00,2503.00,308.59,671790.00,4693.85
4986,1.00,2504.00,308.14,763429.00,5122.12
4988,1.00,2505.00,308.42,815635.00,5636.40
4990,1.00,2506.00,306.40,451063.00,3158.94
4992,1.00,2507.00,304.24,416260.00,3058.10
4994,1.00,2508.00,302.01,452947.00,3184.58
4996,1.00,2509.00,301.11,446520.00,3099.23
4998,1.00,2510.00,300.65,558433.00,3626.53
5000,1.00,2511.00,299.62,760373.00,5822.65
5002,1.00,2512.00,298.06,633194.00,5034.41
5004,1.00,2513.00,296.35,707980.00,5206.92
5006,1.00,2514.00,294.70,737334.00,5166.55
5008,1.00,2515.00,294.38,824524.00,5531.90
5010,1.00,2516.00,293.84,699667.00,5056.18
5012,1.00,2517.00,292.77,634317.00,4465.85
5014,1.00,2518.00,291.55,441847.00,3331.02
5016,1.00,2519.00,290.14,452202.00,3249.26
5018,1.00,2520.00,289.85,647291.00,4422.85
5020,1.00,2521.00,288.45,592904.00,4276.91
5022,1.00,2522.00,286.76,388981.00,2785.44
5024,1.00,2523.00,285.68,474875.00,3363.13
5026,1.00,2524.00,284.16,447658.00,3127.21
5028,1.00,2525.00,282.41,708787.00,5118.06
5030,1.00,2526.00,280.64,820020.00,5718.61
5032,1.00,2527.00,279.58,908988.00,5960.69
5034,1.00,2528.00,278.41,820483.00,5412.06
5036,1.00,2529.00,276.74,1127858.00,6936.19
5038,1.00,2530.00,275.76,853701.00,5848.90
5040,1.00,2531.00,275.90,876636.00,6047.94
5042,1.00,2532.00,274.84,718452.00,5487.04
5044,1.00,2533.00,275.76,543106.00,4178.28
5046,1.00,2534.00,273.79,455634.00,3330.74
5048,1.00,2535.00,271.35,443443.00,3120.11
5050,1.00,2536.00,270.27,450397.00,3144.47
5052,1.00,2537.00,269.72,474357.00,3385.01
5054,1.00,2538.00,269.71,611617.00,4167.13
5056,1.00,2539.00,268.61,795649.00,4958.03
5058,1.00,2540.00,267.63,762871.00,5160.60
5060,1.00,2541.00,268.53,854978.00,5567.50
5062,1.00,2542.00,267.95,820129.00,4950.29
5064,1.00,2543.00,267.11,856065.00,5585.32
5066,1.00,2544.00,266.92,755270.00,5158.76
5068,1.00,2545.00,265.81,734301.00,4713.56
5070,1.00,2546.00,263.65,516514.00,3544.61
5072,1.00,2547.00,262.56,503671.00,3549.33
5074,1.00,2548.00,261.93,571039.00,3983.84
5076,1.00,2549.00,261.69,633171.00,4448.90
5078,1.00,2550.00,259.90,885168.00,6000.96
5080,1.00,2551.00,259.99,824334.00,5833.22
5082,1.00,2552.00,259.34,938674.00,6340.11
5084,1.00,2553.00,258.08,805015.00,5714.38
5086,1.00,2554.00,257.72,857766.00,6108.07
5088,1.00,2555.00,256.75,911731.00,6251.87
5090,1.00,2556.00,255.45,974279.00,6395.61
5092,1.00,2557.00,253.97,861509.00,6174.36
5094,1.00,2558.00,252.67,710517.00,5094.00
5096,1.00,2559.00,252.76,815673.00,5680.74
5098,1.00,2560.00,252.13,445973.00,3225.40
5100,1.00,2561.00,250.61,653748.00,4696.35
5102,1.00,2562.00,248.81,482261.00,3464.69
5104,1.00,2563.00,247.89,571540.00,4296.92
5106,1.00,2564.00,247.25,692864.00,5077.84
5108,1.00,2565.00,246.88,762569.00,5312.78
5110,1.00,2566.00,246.67,746999.00,5703.02
5112,1.00,2567.00,246.37,795103.00,6045.24
5114,1.00,2568.00,244.79,766841.00,5490.76
5116,1.00,2569.00,242.82,663951.00,4932.85
5118,1.00,2570.00,241.87,835735.00,5783.34
5120,1.00,2571.00,241.09,1043344.00,6789.47
5122,1.00,2572.00,240.26,950409.00,6449.05
5124,1.00,2573.00,239.78,722330.00,5378.94
5126,1.00,2574.00,238.56,765766.00,5670.74
5128,1.00,2575.00,237.94,824984.00,5993.91
5130,1.00,2576.00,238.30,863654.00,6330.70
5132,1.00,2577.00,236.25,511257.00,3831.39
5134,1.00,2578.00,236.47,657807.00,4670.02
5136,1.00,2579.00,235.46,550206.00,3819.81
5138,1.00,2580.00,234.89,613600.00,4384.19
5140,1.00,2581.00,233.63,820453.00,5385.75
5142,1.00,2582.00,233.76,940646.00,6295.50
5144,1.00,2583.00,234.48,873539.00,5860.99
5146,1.00,2584.00,234.29,779607.00,5190.27
5148,1.00,2585.00,233.66,672709.00,4715.35
5150,1.00,2586.00,232.19,884863.00,6121.02
5152,1.00,2587.00,232.45,658438.00,4718.00
5154,1.00,2588.00,231.29,564144.00,3835.25
5156,1.00,2589.00,229.03,670044.00,4940.66
5158,1.00,2590.00,229.25,564759.00,4006.62
5160,1.00,2591.00,229.53,653735.00,4890.70
5162,1.00,2592.00,229.63,540379.00,4212.09
5164,1.00,2593.00,229.11,679856.00,5605.31
5166,1.00,2594.00,229.84,786621.00,5228.40
5168,1.00,2595.00,229.62,708623.00,4904.08
5170,1.00,2596.00,229.53,741771.00,4852.08
5172,1.00,2597.00,229.18,677558.00,5101.72
5174,1.00,2598.00,228.22,742518.00,5817.24
5176,1.00,2599.00,227.81,753627.00,5195.18
5178,1.00,2600.00,227.84,876031.00,6423.49
5180,1.00,2601.00,227.66,861417.00,6329.33
5182,1.00,2602.00,227.59,848035.00,5771.53
5184,1.00,2603.00,226.52,903414.00,5921.68
5186,1.00,2604.00,225.59,877534.00,5908.49
5188,1.00,2605.00,225.95,823215.00,5451.58
5190,1.00,2606.00,226.02,754075.00,5196.00
5192,1.00,2607.00,225.50,747215.00,5313.06
5194,1.00,2608.00,225.50,775263.00,5352.59
5196,1.00,2609.00,225.05,817816.00,5234.27
5198,1.00,2610.00,223.44,987316.00,6220.41
5200,1.00,2611.00,222.94,941004.00,6178.75
5202,1.00,2612.00,221.06,703897.00,4645.14
5204,1.00,2613.00,221.27,777315.00,5070.28
5206,1.00,2614.00,221.15,750421.00,4995.03
5208,1.00,2615.00,220.01,776809.00,5774.77
5210,1.00,2616.00,218.62,577544.00,4283.42
5212,1.00,2617.00,217.93,739502.00,5556.16
5214,1.00,2618.00,218.91,845299.00,5979.20
5216,1.00,2619.00,218.15,769177.00,5456.79
5218,1.00,2620.00,218.11,879950.00,6095.57
5220,1.00,2621.00,217.28,687251.00,5258.07
5222,1.00,2622.00,217.60,715521.00,5108.52
5224,1.00,2623.00,217.03,891113.00,6049.02
5226,1.00,2624.00,217.21,743729.00,5568.95
5228,1.00,2625.00,216.10,571723.00,4710.39
5230,1.00,2626.00,217.23,657065.00,4675.73
5232,1.00,2627.00,217.63,800083.00,5224.85
5234,1.00,2628.00,216.19,550570.00,3809.48
5236,1.00,2629.00,214.75,519816.00,4099.86
5238,1.00,2630.00,215.22,700123.00,5371.22
5240,1.00,2631.00,215.41,849366.00,6275.33
5242,1.00,2632.00,213.76,890501.00,6243.89
5244,1.00,2633.00,212.16,797277.00,5664.32
5246,1.00,2634.00,211.06,622166.00,4684.96
5248,1.00,2635.00,210.78,663718.00,4566.55
5250,1.00,2636.00,210.59,695473.00,4967.95
5252,1.00,2637.00,207.60,635727.00,4999.57
5254,1.00,2638.00,209.11,589582.00,4420.45
5256,1.00,2639.00,209.43,644562.00,4726.26
5258,1.00,2640.00,209.76,684617.00,4935.47
5260,1.00,2641.00,208.17,569454.00,4455.97
5262,1.00,2642.00,208.73,451846.00,3412.17
5264,1.00,2643.00,208.00,477468.00,4025.14
5266,1.00,2644.00,207.73,520524.00,4095.80
5268,1.00,2645.00,206.82,581583.00,4212.00
5270,1.00,2646.00,206.89,717009.00,5036.10
5272,1.00,2647.00,206.24,584086.00,4432.34
5274,1.00,2648.00,205.77,617592.00,4427.91
5276,1.00,2649.00,205.07,634415.00,4346.93
5278,1.00,2650.00,204.06,544088.00,3853.29
5280,1.00,2651.00,202.98,542447.00,4585.88
5282,1.00,2652.00,203.15,545699.00,4412.05
5284,1.00,2653.00,201.20,746008.00,5709.79
5286,1.00,2654.00,200.81,689095.00,5547.25
5288,1.00,2655.00,201.33,750568.00,5655.28
5290,1.00,2656.00,202.25,455428.00,3190.62
5292,1.00,2657.00,202.41,625187.00,4637.87
5294,1.00,2658.00,203.10,567382.00,3902.40
5296,1.00,2659.00,201.71,495855.00,3468.70
5298,1.00,2660.00,202.13,577574.00,4352.42
5300,1.00,2661.00,202.01,736520.00,5194.96
5302,1.00,2662.00,201.52,714062.00,4872.84
5304,1.00,2663.00,201.97,824338.00,5783.50
5306,1.00,2664.00,201.41,798135.00,5126.87
5308,1.00,2665.00,201.77,666288.00,4904.48
5310,1.00,2666.00,201.48,736132.00,5602.76
5312,1.00,2667.00,201.91,660743.00,5065.20
5314,1.00,2668.00,199.81,838160.00,6025.66
5316,1.00,2669.00,199.52,917597.00,6491.96
5318,1.00,2670.00,199.01,903533.00,6434.10
5320,1.00,2671.00,198.40,863955.00,6190.67
5322,1.00,2672.00,197.22,824935.00,5881.15
5324,1.00,2673.00,196.44,1047639.00,6732.99
5326,1.00,2674.00,196.60,903493.00,6205.31
5328,1.00,2675.00,195.39,949324.00,6622.39
5330,1.00,2676.00,194.81,969987.00,6170.84
5332,1.00,2677.00,193.84,1068966.00,6495.82
5334,1.00,2678.00,194.95,987989.00,6515.39
5336,1.00,2679.00,193.87,796614.00,5512.51
5338,1.00,2680.00,193.10,786126.00,5515.47
5340,1.00,2681.00,192.67,885011.00,6214.27
5342,1.00,2682.00,192.26,718509.00,4871.51
5344,1.00,2683.00,191.71,696980.00,4614.78
5346,1.00,2684.00,191.29,696065.00,4825.86
5348,1.00,2685.00,189.54,640231.00,4756.36
5350,1.00,2686.00,189.78,760266.00,5730.91
5352,1.00,2687.00,189.19,621831.00,4567.04
5354,1.00,2688.00,188.67,744535.00,5543.88
5356,1.00,2689.00,188.37,618080.00,4615.86
5358,1.00,2690.00,187.61,639357.00,4685.87
5360,1.00,2691.00,188.38,811487.00,5864.02
5362,1.00,2692.00,189.49,623065.00,4634.07
5364,1.00,2693.00,188.38,702484.00,5257.84
5366,1.00,2694.00,187.57,667752.00,4838.93
5368,1.00,2695.00,186.04,672906.00,5337.83
5370,1.00,2696.00,186.06,800890.00,5926.70
5372,1.00,2697.00,185.35,640323.00,4889.88
5374,1.00,2698.00,183.47,756676.00,5321.97
5376,1.00,2699.00,182.78,568381.00,4248.51
5378,1.00,2700.00,182.71,659170.00,5229.50
5380,1.00,2701.00,182.57,595902.00,4652.11
5382,1.00,2702.00,180.75,649796.00,4412.16
5384,1.00,2703.00,181.09,489240.00,3785.84
5386,1.00,2704.00,180.64,522554.00,4008.33
5388,1.00,2705.00,180.47,640958.00,4656.35
5390,1.00,2706.00,180.92,796070.00,5324.27
5392,1.00,2707.00,179.05,787899.00,5181.92
5394,1.00,2708.00,178.30,660201.00,4693.67
5396,1.00,2709.00,176.90,680957.00,5125.16
5398,1.00,2710.00,174.84,672969.00,5022.28
5400,1.00,2711.00,175.23,750968.00,4949.93
5402,1.00,2712.00,174.29,540941.00,3855.85
5404,1.00,2713.00,174.57,607734.00,4244.88
5406,1.00,2714.00,173.69,590789.00,4178.42
5408,1.00,2715.00,172.42,554350.00,3781.96
5410,1.00,2716.00,171.30,612200.00,4171.60
