,tag,t,z,mass,width
208,1.00,115.00,390.49,1087109.00,7051.93
210,1.00,116.00,390.83,861116.00,5624.69
212,1.00,117.00,390.94,829880.00,5693.83
214,1.00,118.00,392.72,508919.00,3535.44
216,1.00,119.00,391.99,738071.00,5423.69
218,1.00,120.00,390.80,982865.00,6026.89
220,1.00,121.00,391.71,799600.00,5690.91
222,1.00,122.00,391.94,603420.00,4639.07
224,1.00,123.00,392.11,672052.00,4924.04
226,1.00,124.00,391.41,724835.00,5199.40
228,1.00,125.00,391.00,720615.00,5289.44
230,1.00,126.00,390.66,672186.00,4973.36
232,1.00,127.00,391.25,762971.00,5651.83
234,1.00,128.00,391.26,989963.00,6236.01
236,1.00,129.00,393.02,875637.00,6069.10
238,1.00,130.00,393.44,529247.00,3902.28
240,1.00,131.00,394.27,505283.00,3890.05
242,1.00,132.00,394.18,548328.00,3954.80
244,1.00,133.00,393.89,643105.00,4317.46
246,1.00,134.00,394.75,615987.00,4246.97
248,1.00,135.00,393.72,782923.00,5307.48
250,1.00,136.00,395.42,1033307.00,6964.92
252,1.00,137.00,396.20,1208414.00,7825.06
254,1.00,138.00,397.22,1056300.00,7656.53
256,1.00,139.00,396.90,885499.00,6245.53
258,1.00,140.00,396.79,776417.00,5123.78
260,1.00,141.00,397.35,951682.00,6109.47
262,1.00,142.00,396.42,1084966.00,6794.98
264,1.00,143.00,397.41,1169963.00,7760.76
266,1.00,144.00,396.40,891857.00,5995.20
268,1.00,145.00,395.42,760968.00,5248.21
270,1.00,146.00,395.49,772505.00,5284.23
272,1.00,147.00,396.00,518952.00,3936.70
274,1.00,148.00,396.03,829745.00,5978.64
276,1.00,149.00,396.94,767308.00,5837.78
278,1.00,150.00,396.16,790222.00,5860.11
280,1.00,151.00,397.76,657838.00,4962.56
282,1.00,152.00,397.85,630202.00,4492.95
284,1.00,153.00,395.41,802902.00,5920.71
286,1.00,154.00,396.10,744448.00,5139.49
288,1.00,155.00,396.55,680477.00,4699.69
290,1.00,156.00,396.00,761042.00,5159.08
292,1.00,157.00,395.73,736717.00,4832.62
294,1.00,158.00,395.23,903187.00,6169.74
296,1.00,159.00,395.38,704565.00,4623.10
298,1.00,160.00,395.99,958877.00,7011.51
300,1.00,161.00,394.90,959439.00,6784.07
302,1.00,162.00,394.37,774384.00,5516.60
304,1.00,163.00,395.29,519136.00,3708.64
306,1.00,164.00,395.32,514116.00,3711.67
308,1.00,165.00,393.75,806219.00,5579.09
310,1.00,166.00,394.13,977433.00,6503.94
312,1.00,167.00,392.81,739381.00,5090.64
314,1.00,168.00,392.86,735460.00,5037.09
316,1.00,169.00,392.48,646644.00,4626.14
318,1.00,170.00,393.71,518894.00,3567.22
320,1.00,171.00,393.88,456509.00,3532.05
322,1.00,172.00,394.27,477774.00,3787.62
324,1.00,173.00,393.83,529758.00,3692.53
326,1.00,174.00,392.24,723165.00,4965.97
328,1.00,175.00,393.18,735231.00,5366.23
330,1.00,176.00,394.82,671729.00,4871.79
332,1.00,177.00,394.66,599023.00,4314.82
334,1.00,178.00,395.76,517375.00,3575.59
336,1.00,179.00,397.01,384009.00,2614.65
338,1.00,180.00,395.37,476430.00,3207.28
340,1.00,181.00,394.77,513165.00,3536.48
342,1.00,182.00,394.01,525881.00,3939.66
344,1.00,183.00,392.79,596014.00,4353.71
346,1.00,184.00,393.04,738225.00,5299.13
348,1.00,185.00,392.33,984557.00,6493.32
350,1.00,186.00,390.93,908366.00,5892.36
352,1.00,187.00,390.73,644565.00,4903.04
354,1.00,188.00,392.12,434490.00,3299.58
356,1.00,189.00,395.00,458524.00,3374.60
358,1.00,190.00,393.36,443136.00,3376.71
360,1.00,191.00,394.20,744364.00,4895.43
362,1.00,192.00,393.93,817741.00,5472.62
364,1.00,193.00,394.36,741006.00,4861.16
366,1.00,194.00,392.91,486156.00,3464.20
368,1.00,195.00,392.81,532139.00,3596.38
370,1.00,196.00,392.81,541346.00,3664.05
372,1.00,197.00,393.87,779670.00,5240.78
374,1.00,198.00,394.35,740756.00,4938.71
376,1.00,199.00,393.08,897417.00,5956.57
378,1.00,200.00,392.69,999012.00,6042.90
380,1.00,201.00,392.78,856668.00,5750.56
382,1.00,202.00,394.00,725336.00,5166.65
384,1.00,203.00,393.65,932108.00,6145.35
386,1.00,204.00,393.77,732887.00,5448.35
388,1.00,205.00,396.06,676639.00,4999.94
390,1.00,206.00,396.01,631363.00,4165.62
392,1.00,207.00,396.32,797791.00,5557.31
394,1.00,208.00,396.04,582132.00,4528.40
396,1.00,209.00,397.71,500537.00,3436.15
398,1.00,210.00,396.80,598657.00,4262.14
400,1.00,211.00,396.12,656724.00,4691.07
402,1.00,212.00,396.22,604868.00,4564.52
404,1.00,213.00,396.41,608735.00,4339.54
406,1.00,214.00,396.92,1096679.00,7367.88
408,1.00,215.00,397.13,1285184.00,8221.51
410,1.00,216.00,397.10,1281930.00,8269.30
412,1.00,217.00,397.35,1158997.00,7987.63
414,1.00,218.00,395.66,910776.00,5818.38
416,1.00,219.00,395.67,1016574.00,7007.50
418,1.00,220.00,395.73,532338.00,3637.64
420,1.00,221.00,395.87,521552.00,3584.04
422,1.00,222.00,395.29,767106.00,5178.49
424,1.00,223.00,395.25,953099.00,6098.50
426,1.00,224.00,393.92,868024.00,5921.10
428,1.00,225.00,394.54,834266.00,5670.93
430,1.00,226.00,395.75,662993.00,4760.36
432,1.00,227.00,395.34,588585.00,3976.97
434,1.00,228.00,395.46,761409.00,4987.47
436,1.00,229.00,395.58,704395.00,4840.30
438,1.00,230.00,395.18,705550.00,4575.77
440,1.00,231.00,394.77,669573.00,4589.17
442,1.00,232.00,395.00,798010.00,5243.01
444,1.00,233.00,395.56,744978.00,4921.56
446,1.00,234.00,394.15,565878.00,3898.33
448,1.00,235.00,393.01,786463.00,5867.10
450,1.00,236.00,393.24,1008685.00,6589.46
452,1.00,237.00,393.08,977498.00,6532.69
454,1.00,238.00,392.01,690736.00,4867.46
456,1.00,239.00,392.29,578844.00,4097.27
458,1.00,240.00,394.90,753856.00,5666.47
460,1.00,241.00,393.77,634027.00,4349.06
462,1.00,242.00,394.30,884396.00,6334.89
464,1.00,243.00,393.36,510697.00,3510.75
466,1.00,244.00,393.77,610829.00,4304.56
468,1.00,245.00,394.58,611580.00,4613.45
470,1.00,246.00,394.55,704602.00,4687.85
472,1.00,247.00,394.01,679886.00,4470.97
474,1.00,248.00,394.19,528512.00,3887.87
476,1.00,249.00,394.49,631393.00,4373.96
478,1.00,250.00,392.58,884825.00,6177.33
480,1.00,251.00,393.46,871698.00,6167.20
482,1.00,252.00,395.58,661194.00,4687.90
484,1.00,253.00,395.55,753575.00,4980.21
486,1.00,254.00,394.26,565974.00,3815.59
488,1.00,255.00,395.00,421578.00,2870.97
490,1.00,256.00,393.78,408774.00,3142.97
492,1.00,257.00,394.07,490766.00,3311.69
494,1.00,258.00,395.01,751994.00,5107.46
496,1.00,259.00,394.76,721399.00,4888.41
498,1.00,260.00,395.38,600488.00,4381.97
500,1.00,261.00,396.07,398506.00,2734.00
502,1.00,262.00,395.76,507396.00,3674.43
504,1.00,263.00,396.61,588835.00,4183.01
506,1.00,264.00,396.47,602131.00,4278.95
508,1.00,265.00,396.09,425833.00,3206.18
510,1.00,266.00,396.11,425853.00,3074.08
512,1.00,267.00,396.18,506923.00,3786.78
514,1.00,268.00,396.11,414909.00,3063.37
516,1.00,269.00,397.13,400718.00,3177.95
518,1.00,270.00,396.84,438852.00,3265.23
520,1.00,271.00,395.76,669925.00,4930.71
522,1.00,272.00,396.75,883962.00,6247.70
524,1.00,273.00,396.76,917570.00,6292.72
526,1.00,274.00,396.17,1064675.00,6479.28
528,1.00,275.00,396.11,847752.00,5591.04
530,1.00,276.00,397.17,479470.00,3696.82
532,1.00,277.00,395.39,519025.00,4270.20
534,1.00,278.00,395.42,526142.00,4304.89
536,1.00,279.00,397.09,519324.00,3802.39
